kickRetId,playId,teamId,playerId,kickRetPosition,kickRetOutcome,kickRetPrimary,kickRetYds,kickRetTd,kickRetEnd,kickRetNull
320126,1498,3800,19960417.0,WR/KR,returned,1,31,,ran out of bounds,0
320127,1521,4900,19950008.0,WR,fair catch,1,0,,in bounds,0
320128,1527,3800,19960417.0,WR/KR,returned,1,12,,in bounds,0
320129,1547,3800,20020185.0,RB,returned,1,23,,in bounds,0
320130,1552,4900,19950008.0,WR,returned,1,-3,,in bounds,0
320131,1571,4900,19950008.0,WR,returned,1,6,,ran out of bounds,0
320132,1582,3800,20020185.0,RB,returned,1,18,,in bounds,0
320133,1593,4900,20030205.0,CB,returned,1,44,,in bounds,0
320134,1601,4900,19950008.0,WR,returned,1,0,,ran out of bounds,0
320135,1607,4900,20030205.0,CB,returned,1,36,,in bounds,0
320136,1611,3800,20030054.0,WR,fair catch,1,0,,in bounds,0
320137,1615,4900,19950008.0,WR,returned,1,6,,in bounds,0
320138,1629,3800,20020185.0,RB,returned,1,19,,in bounds,0
320139,1646,3800,20020185.0,RB,returned,1,18,,in bounds,0
320140,1667,200,19980085.0,CB,returned,1,30,,pushed out of bounds,0
320141,1675,3800,20020185.0,RB,returned,1,19,,in bounds,0
320142,1683,3800,19960417.0,WR/KR,returned,1,2,,in bounds,0
320143,1693,200,19980085.0,CB,returned,1,-2,,in bounds,0
320144,1708,200,19980085.0,CB,returned,1,24,,in bounds,0
320145,1712,3800,19960417.0,WR/KR,returned,1,3,,in bounds,0
320146,1751,200,19980085.0,CB,returned,1,38,,ran out of bounds,0
320147,1755,3800,19960417.0,WR/KR,returned,1,1,,in bounds,0
320148,1776,750,19950434.0,RB,returned,1,24,,in bounds,0
320149,1780,200,19980085.0,CB,returned,1,10,,in bounds,0
320150,1784,750,20040731.0,WR,returned,1,8,,in bounds,0
320151,1796,750,19950434.0,RB,returned,1,21,,in bounds,0
320152,1803,200,19980085.0,CB,returned,1,1,,in bounds,0
320153,1828,200,19980085.0,CB,returned,1,49,,in bounds,0
320154,1850,200,19980085.0,CB,returned,1,32,,in bounds,0
320155,1854,200,19980085.0,CB,returned,1,24,,in bounds,0
320156,1872,750,19950434.0,RB,returned,1,13,,in bounds,0
320157,1876,200,19980085.0,CB,returned,1,34,,in bounds,0
320158,1884,750,19950434.0,RB,returned,1,14,,in bounds,0
320159,1901,200,19980085.0,CB,returned,1,17,,in bounds,0
320160,1905,750,20040731.0,WR,returned,1,0,,in bounds,0
320161,1909,200,20040008.0,CB,returned,1,48,,pushed out of bounds,0
320162,1924,200,19980085.0,CB,returned,1,18,,in bounds,0
320163,1941,750,20040731.0,WR,returned,1,16,,in bounds,0
320164,1948,200,19980085.0,CB,returned,1,12,,in bounds,0
320165,1954,920,19980042.0,WR,returned,1,21,,in bounds,0
320166,1966,920,20010411.0,RB,returned,1,15,,in bounds,0
320167,1980,920,20010204.0,WR,returned,1,0,,in bounds,0
320168,1992,200,19980085.0,CB,returned,1,4,,in bounds,0
320169,1996,920,20010204.0,WR,returned,1,3,,in bounds,0
320170,2006,200,19980085.0,CB,returned,1,44,,in bounds,0
320171,2025,920,19980042.0,WR,returned,1,1,,in bounds,0
320172,2029,200,19980085.0,CB,returned,1,7,,in bounds,0
320173,2042,200,19980085.0,CB,returned,1,11,,in bounds,0
320174,2044,920,20040731.0,WR,returned,1,14,,in bounds,0
320175,2048,200,19980085.0,CB,returned,1,14,,in bounds,0
320176,2056,920,20040731.0,WR,returned,1,16,,in bounds,0
320177,2068,200,20020585.0,WR,returned,1,27,,in bounds,0
320178,2073,920,20040731.0,WR,returned,1,17,,in bounds,0
320179,2084,920,20030638.0,CB,returned,1,30,,in bounds,0
320180,2103,200,20020585.0,WR,returned,1,11,,in bounds,0
320181,2123,200,19980085.0,CB,returned,1,9,,in bounds,0
320182,2142,200,19980085.0,CB,fair catch,1,0,,in bounds,0
320183,2146,1540,20020444.0,WR,returned,1,-1,,in bounds,0
320184,2156,1540,20020444.0,WR,returned,1,3,,in bounds,0
320185,2163,200,19980085.0,CB,returned,1,16,,ran out of bounds,0
320186,2180,1540,20020444.0,WR,returned,1,22,,in bounds,0
320187,2194,200,19980085.0,CB,returned,1,18,,in bounds,0
320188,2204,1540,20020444.0,WR,returned,1,12,,in bounds,0
320189,2212,200,19980085.0,CB,returned,1,35,,in bounds,0
320190,2232,200,19980085.0,CB,returned,1,0,,in bounds,0
320191,2241,200,19980085.0,CB,returned,1,28,,pushed out of bounds,0
320192,2256,200,19980085.0,CB,returned,1,15,,in bounds,0
320193,2266,1540,20020444.0,WR,fair catch,1,0,,in bounds,0
320194,2287,200,20020585.0,WR,returned,1,0,,in bounds,0
320195,2293,200,20020585.0,WR,returned,1,39,,in bounds,0
320196,2299,3000,20030221.0,WR,fair catch,1,0,,in bounds,0
320197,2308,200,20020585.0,WR,returned,1,15,,in bounds,0
320198,2315,3000,20030221.0,WR,returned,1,1,,in bounds,0
320199,2322,200,20040029.0,WR,fair catch,1,0,,in bounds,0
320200,2332,200,20020585.0,WR,returned,1,27,,in bounds,0
320201,2348,3000,20030105.0,RB,returned,1,16,,in bounds,0
320202,2352,200,20040029.0,WR,returned,1,5,,in bounds,0
320203,2366,3000,20030105.0,RB,returned,1,16,,in bounds,0
320204,2369,3000,20030221.0,WR,returned,1,10,,in bounds,0
320205,2376,200,20020585.0,WR,returned,1,18,,in bounds,0
320206,2390,3000,20030221.0,WR,returned,1,17,,in bounds,0
320207,2396,200,20040029.0,WR,returned,1,4,,in bounds,0
320208,2400,3000,20020070.0,S,returned,1,7,,ran out of bounds,0
320209,2423,3000,20030262.0,WR,returned,1,24,,in bounds,0
320210,2434,200,20020585.0,WR,returned,1,1,,in bounds,0
320211,2438,3000,20000125.0,CB,returned,1,0,,in bounds,0
320212,2450,200,19980085.0,CB,returned,1,37,,in bounds,0
320213,2454,3300,20020013.0,WR,returned,1,3,,in bounds,0
320214,2459,200,19980085.0,CB,returned,1,7,,in bounds,0
320215,2477,200,19980085.0,CB,fair catch,1,0,,in bounds,0
320216,2491,3300,19990438.0,RB,returned,1,23,,in bounds,0
320217,2500,200,19980085.0,CB,returned,1,14,,in bounds,0
320218,2504,3300,20020013.0,WR,returned,1,1,,in bounds,0
320219,2515,3300,20020013.0,WR,returned,1,1,,in bounds,0
320220,2519,200,19980085.0,CB,fair catch,1,0,,in bounds,0
320221,2538,3300,19990438.0,RB,returned,1,14,,in bounds,0
320222,2553,3300,20020013.0,WR,returned,1,-3,,in bounds,0
320223,2565,200,19980085.0,CB,returned,1,24,,in bounds,0
320224,2580,200,19980085.0,CB,returned,1,24,,in bounds,0
320225,2584,3300,20020013.0,WR,fair catch,1,0,,in bounds,0
320226,2588,200,19980085.0,CB,fair catch,1,0,,in bounds,0
320227,2604,200,19980085.0,CB,returned,1,6,,in bounds,0
320228,2608,3300,19990438.0,RB,returned,1,19,,in bounds,0
320229,2618,2520,20000076.0,RB,returned,1,15,,in bounds,0
320230,2642,200,19980085.0,CB,returned,1,22,,in bounds,0
320231,2655,200,19980085.0,CB,returned,1,4,,pushed out of bounds,0
320232,2664,2520,20020017.0,CB,fair catch,1,0,,in bounds,0
320233,2669,200,19980085.0,CB,returned,1,50,,in bounds,0
320234,2673,2520,20000076.0,RB,returned,1,18,,in bounds,0
320235,2689,2520,20000076.0,RB,returned,1,17,,in bounds,0
320236,2697,2520,20020480.0,WR,returned,1,20,,in bounds,0
320237,2701,200,19960118.0,FB,returned,1,2,,pushed out of bounds,0
320238,2724,2520,20000076.0,RB,returned,1,19,,in bounds,0
320239,2733,200,19980085.0,CB,fair catch,1,0,,in bounds,0
320240,2761,2520,20020017.0,CB,fair catch,1,0,,in bounds,0
320241,2776,4400,19980114.0,WR,returned,1,25,,in bounds,0
320242,2786,4400,20020558.0,WR,fair catch,1,0,,in bounds,0
320243,2794,200,19980085.0,CB,fair catch,1,0,,in bounds,0
320244,2802,4400,20020558.0,WR,fair catch,1,0,,in bounds,0
320245,2824,4400,19980114.0,WR,returned,1,32,,in bounds,0
320246,2842,200,19980085.0,CB,returned,1,15,,in bounds,0
320247,2852,200,19980085.0,CB,returned,1,13,,in bounds,0
320248,2854,200,19980085.0,CB,returned,1,19,,in bounds,0
320249,2859,4400,19980114.0,WR,fair catch,1,0,,in bounds,0
320250,2871,4400,19980114.0,WR,fair catch,1,0,,in bounds,0
320251,2883,4400,19980114.0,WR,fair catch,1,0,,in bounds,0
320252,2890,200,19980085.0,CB,fair catch,1,0,,in bounds,0
320253,2896,4400,19980114.0,WR,returned,1,20,,in bounds,0
320254,2901,200,19980085.0,CB,returned,1,17,,in bounds,0
320255,2906,4400,19980114.0,WR,returned,1,26,,in bounds,0
320256,2915,200,19980085.0,CB,returned,1,11,,in bounds,0
320257,2925,200,19980085.0,CB,returned,1,26,,ran out of bounds,0
320258,2930,2510,20030106.0,WR,returned,1,-2,,in bounds,0
320259,2938,200,19980085.0,CB,returned,1,0,,pushed out of bounds,0
320260,2957,200,19980085.0,CB,returned,1,13,,in bounds,0
320261,2969,2510,20040024.0,RB,returned,1,23,,in bounds,0
320262,2989,200,19980085.0,CB,returned,1,21,,in bounds,0
320263,2996,2510,19990068.0,S,returned,1,-1,,in bounds,0
320264,2997,2510,20040024.0,RB,returned,1,19,,in bounds,0
320265,3003,200,19980085.0,CB,returned,1,22,,in bounds,0
320266,3014,200,19980085.0,CB,returned,1,20,,ran out of bounds,0
320267,3018,2510,20030106.0,WR,fair catch,1,0,,in bounds,0
320268,3030,200,19980085.0,CB,returned,1,22,,in bounds,0
320269,3061,2510,20040024.0,RB,returned,1,17,,in bounds,0
320270,3066,200,19980085.0,CB,fair catch,1,0,,in bounds,0
320271,3073,200,19980085.0,CB,returned,1,20,,in bounds,0
320272,3080,2510,20010408.0,RB,returned,1,19,,in bounds,0
320273,3087,200,19980085.0,CB,returned,1,18,,in bounds,0
320274,3094,2510,20010408.0,RB,returned,1,23,,in bounds,0
320275,3120,2510,20010408.0,RB,returned,1,22,,in bounds,0
320276,3130,200,19980085.0,CB,returned,1,26,,in bounds,0
320277,3141,200,19980085.0,CB,returned,1,68,1.0,in bounds,0
320278,3154,2510,20010129.0,TE,returned,1,0,,in bounds,0
320279,3158,200,19980085.0,CB,returned,1,39,,in bounds,0
320280,3166,2510,20010408.0,RB,returned,1,17,,in bounds,0
320281,3171,200,19980085.0,CB,returned,1,45,,pushed out of bounds,0
320282,3176,2510,20010408.0,RB,returned,1,16,,in bounds,0
320283,3184,2510,20030106.0,WR,fair catch,1,0,,in bounds,0
320284,3196,200,19980085.0,CB,returned,1,16,,in bounds,0
320285,3213,2510,20010408.0,RB,returned,1,25,,in bounds,0
320286,3223,200,19980085.0,CB,returned,1,22,,in bounds,0
320287,3232,4900,20030205.0,CB,returned,1,39,,in bounds,0
320288,3247,4900,20030205.0,CB,returned,1,27,,in bounds,0
320289,3269,4900,20030446.0,RB,returned,1,17,,in bounds,0
320290,3281,200,19980085.0,CB,returned,1,21,,in bounds,0
320291,3285,4900,19950008.0,WR,returned,1,16,,ran out of bounds,0
320292,3290,200,19980085.0,CB,returned,1,0,,in bounds,0
320293,3295,4900,19950008.0,WR,fair catch,1,0,,in bounds,0
320294,3298,4900,20030205.0,CB,returned,1,15,,in bounds,0
320295,3304,200,19980085.0,CB,fair catch,1,0,,in bounds,0
320296,3313,200,19980085.0,CB,returned,1,31,,in bounds,0
320297,3317,4900,19950008.0,WR,fair catch,1,0,,in bounds,0
320298,3328,200,19980085.0,CB,fair catch,1,0,,in bounds,0
320299,3332,4900,19950008.0,WR,fair catch,1,0,,in bounds,0
320300,3337,200,19980085.0,CB,returned,1,0,,in bounds,0
320301,3341,4900,19950008.0,WR,returned,1,8,,in bounds,0
320302,3355,4900,20030205.0,CB,returned,1,20,,in bounds,0
320303,3359,200,19980085.0,CB,fair catch,1,0,,in bounds,0
320304,3363,4900,19950008.0,WR,fair catch,1,0,,in bounds,0
320305,3382,200,20020585.0,WR,returned,1,12,,in bounds,0
320306,3387,325,20020195.0,DB,returned,1,5,,in bounds,0
320307,3403,200,20020585.0,WR,returned,1,5,,in bounds,0
320308,3411,325,20020195.0,DB,fair catch,1,0,,in bounds,0
320309,3418,200,19980478.0,WR,fair catch,1,0,,in bounds,0
320310,3447,325,20020195.0,DB,returned,1,2,,in bounds,0
320311,3457,200,20020585.0,WR,returned,1,21,,in bounds,0
320312,3469,325,20040244.0,WR,returned,1,17,,in bounds,0
320313,3484,200,20030650.0,WR,returned,1,10,,in bounds,0
320314,3494,200,20030650.0,WR,returned,1,0,,in bounds,0
320315,3499,200,20030650.0,WR,returned,1,15,,in bounds,0
320316,3526,325,20040244.0,WR,returned,1,6,,in bounds,0
320317,3538,200,20030650.0,WR,fair catch,1,0,,in bounds,0
320318,3542,325,20040244.0,WR,returned,1,9,,in bounds,0
320319,3544,325,20040594.0,RB,returned,1,14,,in bounds,0
320320,3553,325,20040594.0,RB,returned,1,25,,in bounds,0
320321,3567,610,20030111.0,CB,returned,1,18,,in bounds,0
320322,3575,610,20030111.0,CB,returned,1,16,,in bounds,0
320323,3579,325,20040594.0,RB,returned,1,2,,in bounds,0
320324,3590,610,20030111.0,CB,returned,1,16,,in bounds,0
320325,3604,610,20010021.0,CB,returned,1,-3,,in bounds,0
320326,3608,325,19890005.0,CB,returned,1,4,,in bounds,0
320327,3616,610,20010021.0,CB,returned,1,5,,in bounds,0
320328,3620,610,20030111.0,CB,returned,1,12,,in bounds,0
320329,3638,325,20040594.0,RB,returned,1,22,,in bounds,0
320330,3643,610,20010021.0,CB,returned,1,3,,in bounds,0
320331,3666,610,20010021.0,CB,returned,1,16,,in bounds,0
320332,3680,610,20030111.0,CB,returned,1,28,,in bounds,0
320333,3696,920,20020087.0,WR,returned,1,21,,in bounds,0
320334,3709,920,20020087.0,WR,returned,1,20,,in bounds,0
320335,3728,920,20040049.0,CB,returned,1,8,,in bounds,0
320336,3744,325,20040594.0,RB,returned,1,-4,,in bounds,0
320337,3759,325,20040594.0,RB,returned,1,19,,in bounds,0
320338,3775,920,20020087.0,WR,returned,1,23,,in bounds,0
320339,3776,325,20040594.0,RB,returned,1,18,,in bounds,0
320340,3790,920,20020087.0,WR,returned,1,20,,in bounds,0
320341,3804,920,20020087.0,WR,returned,1,24,,in bounds,0
320342,3809,325,20040594.0,RB,returned,1,0,,in bounds,0
320343,3813,325,20040594.0,RB,returned,1,22,,in bounds,0
320344,3824,325,20040594.0,RB,returned,1,16,,in bounds,0
320345,3830,920,20020087.0,WR,returned,1,22,,in bounds,0
320346,3838,325,20040594.0,RB,returned,1,29,,in bounds,0
320347,3851,920,20020087.0,WR,returned,1,18,,in bounds,0
320348,3861,1050,20030764.0,WR,returned,1,93,1.0,in bounds,0
320349,3863,325,20040594.0,RB,returned,1,19,,in bounds,0
320350,3867,1050,20000032.0,WR,returned,1,15,,in bounds,0
320351,3872,325,20040594.0,RB,returned,1,18,,in bounds,0
320352,3880,1050,20030764.0,WR,returned,1,19,,in bounds,0
320353,3885,325,20040594.0,RB,returned,1,11,,in bounds,0
320354,3898,325,20040594.0,RB,returned,1,8,,in bounds,0
320355,3905,325,20040594.0,RB,returned,1,14,,in bounds,0
320356,3919,1050,20030764.0,WR,returned,1,22,,in bounds,0
320357,3936,1050,20030764.0,WR,returned,1,24,,in bounds,0
320358,3950,325,20040594.0,RB,returned,1,10,,in bounds,0
320359,3961,325,20040594.0,RB,returned,1,-4,,in bounds,0
320360,3966,1050,20000032.0,WR,returned,1,9,,in bounds,0
320361,3983,325,20040594.0,RB,returned,1,18,,in bounds,0
320362,4000,1050,20030764.0,WR,returned,1,16,,in bounds,0
320363,4015,1050,20030764.0,WR,returned,1,23,,in bounds,0
320364,4017,1200,20030677.0,RB,returned,1,17,,in bounds,0
320365,4022,325,20040594.0,RB,returned,1,18,,in bounds,0
320366,4026,1200,20040586.0,CB,returned,1,18,,in bounds,0
320367,4030,325,20040594.0,RB,returned,1,0,,in bounds,0
320368,4034,1200,20040586.0,CB,returned,1,15,,in bounds,0
320369,4038,325,20040594.0,RB,fair catch,1,0,,in bounds,0
320370,4046,325,20040594.0,RB,returned,1,7,,in bounds,0
320371,4092,325,20040594.0,RB,returned,1,22,,in bounds,0
320372,4101,325,20040594.0,RB,returned,1,7,,in bounds,0
320373,4112,1200,20040540.0,WR,returned,1,39,,in bounds,0
320374,4121,1200,20030677.0,RB,returned,1,16,,in bounds,0
320375,4125,325,20040594.0,RB,returned,1,0,,in bounds,0
320376,4144,1200,20030677.0,RB,returned,1,25,,in bounds,0
320377,4148,1200,20030677.0,RB,returned,1,22,,in bounds,0
320378,4154,1200,20030677.0,RB,returned,1,22,,in bounds,0
320379,4173,325,20040594.0,RB,returned,1,13,,in bounds,0
320380,4175,1540,19980411.0,WR,returned,1,21,,in bounds,0
320381,4188,325,20020195.0,DB,returned,1,35,,pushed out of bounds,0
320382,4194,1540,20020444.0,WR,returned,1,1,,in bounds,0
320383,4199,325,20040594.0,RB,returned,1,15,,in bounds,0
320384,4212,325,20040594.0,RB,returned,1,1,,in bounds,0
320385,4222,325,20040594.0,RB,returned,1,12,,ran out of bounds,0
320386,4226,1540,20020444.0,WR,fair catch,1,0,,in bounds,0
320387,4249,325,20040594.0,RB,returned,1,12,,in bounds,0
320388,4256,325,20020195.0,DB,returned,1,17,,in bounds,0
320389,4259,1540,20030551.0,RB,returned,1,22,,in bounds,0
320390,4273,1540,20020444.0,WR,returned,1,0,,in bounds,0
320391,4288,325,20040586.0,CB,returned,1,3,,in bounds,0
320392,4292,1540,20020444.0,WR,returned,1,8,,in bounds,0
320393,4319,1540,20030551.0,RB,returned,1,25,,in bounds,0
320394,4328,325,20020195.0,DB,fair catch,1,0,,in bounds,0
320395,4332,325,20040594.0,RB,returned,1,25,,in bounds,0
320396,4353,325,20040594.0,RB,returned,1,20,,in bounds,0
320397,4357,2310,20000153.0,WR,fair catch,1,0,,in bounds,0
320398,4369,325,20040594.0,RB,returned,1,44,,in bounds,0
320399,4373,2310,20000153.0,WR,fair catch,1,0,,in bounds,0
320400,4378,325,20040594.0,RB,fair catch,1,0,,in bounds,0
320401,4381,2310,20000153.0,WR,returned,1,19,,in bounds,0
320402,4399,325,20040594.0,RB,returned,1,41,,in bounds,0
320403,4407,325,20040594.0,RB,returned,1,58,1.0,in bounds,0
320404,4413,325,20040594.0,RB,returned,1,9,,in bounds,0
320405,4428,325,20040594.0,RB,returned,1,24,,in bounds,0
320406,4449,325,20040594.0,RB,returned,1,29,,in bounds,0
320407,4463,2310,20000153.0,WR,returned,1,25,,in bounds,0
320408,4471,325,20040594.0,RB,fair catch,1,0,,in bounds,0
320409,4493,2700,20040574.0,WR,returned,1,17,,in bounds,0
320410,4496,325,20040594.0,RB,returned,1,21,,in bounds,0
320411,4506,2700,20040574.0,WR,returned,1,23,,in bounds,0
320412,4510,325,20040594.0,RB,fair catch,1,0,,in bounds,0
320413,4517,2700,20040574.0,WR,fair catch,1,0,,in bounds,0
320414,4530,325,20040594.0,RB,fair catch,1,0,,in bounds,0
320415,4538,2700,20040574.0,WR,returned,1,8,,in bounds,0
320416,4557,2700,20040574.0,WR,returned,1,20,,in bounds,0
320417,4562,2700,20040574.0,WR,returned,1,22,,in bounds,0
