combineId,playerId,combineYear,combinePosition,combineHeight,combineWeight,combineHand,nameFirst,nameLast,nameFull,position,collegeId,nflId,college,heightInches,weight,dob,ageAtDraft,playerProfileUrl,homeCity,homeState,homeCountry,highSchool,hsCity,hsState,hsCountry,combineArm,combine40yd,combineVert,combineBench,combineShuttle,combineBroad,combine3cone,combine60ydShuttle,combineWonderlic
10010,19870062,1987,TE,77.0,239,9.5,Robert,Awalt,Robert Awalt,TE,92115.0,2499479,San Diego State,77.0,258.0,1964-04-09,23.065753424657533,http://www.nfl.com/player/RobertAwalt/2499479/profile,Landsthul,,Germany,,,,,30.75,4.86,28.0,,4.45,108.0,,12.07,
10011,19870083,1987,WR,68.0,157,8.25,Stephen,Baker,Stephen Baker,WR,93740.0,2499504,Frenso State (CA),68.0,160.0,1964-08-30,22.673972602739727,http://www.nfl.com/player/StephenBaker/2499504/profile,San Antonio,TX,USA,,,,,30.25,4.6,31.0,,4.41,116.0,,11.89,
10012,19870063,1987,DT,72.1,292,9.0,Jerry,Ball,Jerry Ball,DT,75205.0,2499510,Southern Methodist,73.0,330.0,1964-12-15,22.38082191780822,http://www.nfl.com/player/JerryBall/2499510/profile,Beaumont,TX,USA,West Brook Senior HS,,TX,USA,31.25,5.14,24.0,23.0,4.77,96.0,,,
10013,19870176,1987,DT,76.0,250,8.5,Robert,Banks,Robert Banks,DE,46556.0,2508962,Notre Dame,77.0,259.0,1963-12-10,23.397260273972602,http://www.nfl.com/player/RobertBanks/2508962/profile,Williamsburg,VA,USA,,,,,31.5,4.98,,18.0,,,,,
10014,19870114,1987,WR,70.1,188,9.5,Roy,Banks,Roy Banks,WR,61920.0,2508963,Eastern Illlinois,70.0,190.0,1965-11-29,21.424657534246574,http://www.nfl.com/player/RoyBanks/2508963/profile,Detroit,MI,USA,,,,,32.0,4.52,32.0,4.0,4.26,114.0,,11.31,
10015,19870184,1987,DE,75.4,259,10.0,Roland,Barbay,Roland Barbay,DT,70803.0,2508975,Louisiana State,76.0,260.0,1964-10-01,22.586301369863012,http://www.nfl.com/player/RolandBarbay/2508975/profile,New Orleans,LA,USA,,,,,32.5,5.18,21.5,13.0,4.59,91.0,,,
10016,19870143,1987,RB,68.8,201,9.5,Steve,Bartalo,Steve Bartalo,RB,80523.0,2509098,Colorado State,69.0,200.0,1964-07-15,22.8,http://www.nfl.com/player/SteveBartalo/2509098/profile,Limestone,ME,USA,,,,,28.0,4.83,28.5,14.0,4.05,114.0,,11.34,
10017,19870091,1987,OLB,74.3,250,9.75,Doug,Bartlett,Doug Bartlett,DT,60115.0,2509104,Northern Illinois,74.0,250.0,1963-05-22,23.95068493150685,http://www.nfl.com/player/DougBartlett/2509104/profile,Springfield,IL,USA,,,,,30.75,4.75,31.0,31.0,4.12,112.0,,,
10018,19870022,1987,C,76.3,280,9.5,Harris,Barton,Harris Barton,OT,27599.0,2499562,North Carolina,76.0,292.0,1964-04-19,23.03835616438356,http://www.nfl.com/player/HarrisBarton/2499562/profile,Atlanta,GA,USA,,,,,31.75,5.03,31.0,24.0,4.46,106.0,,,
10019,19870802,1987,TE,75.8,235,9.25,Gerald,Bayless,Gerald Bayless,TE,43403.0,,Bowling Green (OH),76.0,235.0,,,,,,,,,,,32.0,4.82,26.0,,4.34,108.0,,11.62,
10020,19870803,1987,WR,70.8,174,9.25,Albert,Bell,Albert Bell,WR,35487.0,2509335,Alabama,71.0,174.0,1964-04-23,23.027397260273972,http://www.nfl.com/player/AlbertBell/2509335/profile,Birmingham,AL,USA,,,,,30.0,4.63,29.5,4.0,4.5,114.0,,12.23,
10021,19870076,1987,SS,70.8,201,8.75,Len,Bell,Len Bell,DB,47405.0,2509359,Indiana,71.0,201.0,1964-03-14,23.136986301369863,http://www.nfl.com/player/LenBell/2509359/profile,Rockford,IL,USA,,,,,30.5,4.61,30.0,18.0,4.3,106.0,,11.8,
10022,19870170,1987,WR,70.9,178,9.0,Mark,Bellini,Mark Bellini,WR,84602.0,2509383,BYU,71.0,185.0,1964-01-19,23.28767123287671,http://www.nfl.com/player/MarkBellini/2509383/profile,San Leandro,CA,USA,,,,,30.0,,,8.0,,,,,
10023,19870024,1987,RB,75.0,238,10.0,Rod,Bernstine,Rod Bernstine,RB,77843.0,2499637,Texas A&M,75.0,238.0,1965-02-08,22.23013698630137,http://www.nfl.com/player/RodBernstine/2499637/profile,Fairfield,CA,USA,,,,,32.25,4.68,29.5,18.0,4.39,112.0,,12.01,
10024,19870044,1987,ILB,74.5,226,9.25,Ray,Berry,Ray Berry,LB,76706.0,2499640,Baylor,74.0,227.0,1963-10-28,23.515068493150686,http://www.nfl.com/player/RayBerry/2499640/profile,Lovington,NM,USA,,,,,31.0,4.85,28.5,22.0,4.47,105.0,,12.01,
10025,19870110,1987,QB,74.4,203,10.0,Steve,Beuerlein,Steve Beuerlein,QB,46556.0,2499643,Notre Dame,75.0,220.0,1965-03-07,22.156164383561645,http://www.nfl.com/player/SteveBeuerlein/2499643/profile,Hollywood,CA,USA,Servite HS,,CA,USA,30.0,5.1,23.0,3.0,4.63,93.0,,,
10026,19870235,1987,WR,69.5,201,8.75,Alvin,Blount,Alvin Blount,RB,20740.0,2509747,Maryland,69.0,197.0,1965-02-12,22.21917808219178,http://www.nfl.com/player/AlvinBlount/2509747/profile,Washington,DC,USA,,,,,31.25,4.58,35.0,13.0,4.17,116.0,,11.08,
10027,19870804,1987,DT,74.6,254,8.75,Ron,Bohm,Ron Bohm,DT,61801.0,2509799,Illinois,75.0,254.0,1964-09-03,22.663013698630138,http://www.nfl.com/player/RonBohm/2509799/profile,Princeton,IL,USA,,,,,31.25,5.12,24.5,13.0,4.54,103.0,,,
10028,19870016,1987,DE,76.1,267,9.75,John,Bosa,John Bosa,DE,2459.0,2509890,Boston,76.0,270.0,1964-01-10,23.312328767123287,http://www.nfl.com/player/JohnBosa/2509890/profile,Keene,NH,USA,,,,,31.5,4.85,28.0,27.0,4.41,99.0,,,
10029,19870165,1987,CB,69.0,176,9.75,Stephen,Braggs,Stephen Braggs,DB,78712.0,2499759,Texas,69.0,173.0,1965-08-29,21.676712328767124,http://www.nfl.com/player/StephenBraggs/2499759/profile,Houston,TX,USA,,,,,29.75,4.55,28.5,7.0,4.1,111.0,,11.64,
10030,19870060,1987,OLB,75.1,223,9.0,David,Brandon,David Brandon,LB,38152.0,2499764,Memphis,76.0,238.0,1965-02-09,22.22739726027397,http://www.nfl.com/player/DavidBrandon/2499764/profile,Memphis,TN,USA,,,,,32.0,4.73,26.5,9.0,4.45,108.0,,12.12,
10031,19870037,1987,OG,76.3,279,9.75,Jeff,Bregel,Jeff Bregel,OG,90089.0,2510135,USC,76.0,280.0,1964-05-01,23.005479452054793,http://www.nfl.com/player/JeffBregel/2510135/profile,Redondo Beach,CA,USA,,,,,31.0,5.4,28.5,20.0,4.63,108.0,,,
10032,19870805,1987,WR,75.0,183,7.75,James,Brim,James Brim,WR,27106.0,,Wake Forest,75.0,183.0,,,,,,,,,,,32.0,4.53,32.0,7.0,4.12,116.0,,11.21,
10033,19870053,1987,CB,70.6,163,9.5,Lou,Brock,Lou Brock,DB,90089.0,2510246,USC,70.0,175.0,1964-05-08,22.986301369863014,http://www.nfl.com/player/LouBrock/2510246/profile,Chicago,IL,USA,,,,,31.25,,,,,,,,
10034,19870009,1987,DT,74.3,292,9.75,Jerome,Brown,Jerome Brown,DT,33124.0,2499848,Miami (FL),74.0,292.0,1965-02-04,22.24109589041096,http://www.nfl.com/player/JeromeBrown/2499848/profile,Brooksville,FL,USA,,,,,33.0,4.86,,17.0,,,,,
10035,19870182,1987,RB,72.5,218,8.5,Tom,Brown,Tom Brown,RB,15260.0,2510452,Pittsburgh,73.0,223.0,1964-11-20,22.44931506849315,http://www.nfl.com/player/TomBrown/2510452/profile,Ridgway,PA,USA,,,,,29.75,4.69,25.5,19.0,4.35,97.0,,11.8,
10036,19870017,1987,DE,77.0,250,9.25,Jason,Buck,Jason Buck,DE,84602.0,2499899,BYU,77.0,264.0,1963-07-27,23.76986301369863,http://www.nfl.com/player/JasonBuck/2499899/profile,Moses Lake,WA,USA,,,,,32.75,,,19.0,,,,,
10037,19870324,1987,RB,72.0,220,9.5,Tony,Burse,Tony Burse,RB,37130.0,2510768,Middle Tennessee State,72.0,220.0,1965-04-04,22.07945205479452,http://www.nfl.com/player/TonyBurse/2510768/profile,Lafayette,GA,USA,,,,,30.5,4.71,27.5,20.0,4.88,104.0,,12.37,
10038,19870064,1987,QB,75.0,191,9.25,Cody,Carlson,Cody Carlson,QB,76706.0,2499989,Baylor,75.0,202.0,1963-11-05,23.493150684931507,http://www.nfl.com/player/CodyCarlson/2499989/profile,Dallas,TX,USA,,,,,31.0,4.82,29.5,,4.45,111.0,,,
10039,19870057,1987,WR,71.8,182,9.25,Mark,Carrier,Mark Carrier,WR,70301.0,2499998,Nicholls State (LA),72.0,186.0,1965-10-28,21.512328767123286,http://www.nfl.com/player/MarkCarrier/2499998/profile,Lafayette,LA,USA,Church Point HS,,LA,USA,30.75,4.46,30.0,9.0,4.51,114.0,,12.0,
10040,19870159,1987,OLB,73.0,235,9.5,Toby,Caston,Toby Caston,LB,70803.0,2500031,Louisiana State,73.0,235.0,1965-07-17,21.794520547945204,http://www.nfl.com/player/TobyCaston/2500031/profile,Monroe,LA,USA,,,,,31.75,4.82,32.5,10.0,4.55,117.0,,12.18,
10041,19870277,1987,DT,75.4,275,9.25,Dick,Chapura,Dick Chapura,DT,65211.0,2511365,Missouri,75.0,277.0,1964-06-15,22.882191780821916,http://www.nfl.com/player/DickChapura/2511365/profile,Sarasota,FL,USA,,,,,32.5,,,,,,,,
10042,19870263,1987,WR,69.3,170,9.5,Robert,Clark,Robert Clark,WR,27707.0,2500090,North Carolina Central,71.0,175.0,1965-08-06,21.73972602739726,http://www.nfl.com/player/RobertClark/2500090/profile,Brooklyn,NY,USA,,,,,29.75,4.58,28.5,4.0,4.58,114.0,,11.63,
10043,19870015,1987,OT,77.4,320,9.75,John,Clay,John Clay,OT,65211.0,2495460,Missouri,77.0,300.0,1964-05-01,23.005479452054793,http://www.nfl.com/player/JohnClay/2495460/profile,St. Louis,MO,USA,,,,,33.25,5.51,25.0,16.0,4.77,85.0,,,
10044,19870218,1987,TE,64.9,163,8.25,Michael,Clemons,Michael Clemons,RB,23185.0,2511621,William & Mary,65.0,166.0,1965-01-15,22.295890410958904,http://www.nfl.com/player/MichaelClemons/2511621/profile,Clearwater,FL,USA,,,,,28.25,4.67,29.0,9.0,4.42,108.0,,11.62,
10045,19870233,1987,WR,73.0,193,9.75,Joey,Clinkscales,Joey Clinkscales,WR,37998.0,2511640,Tennessee,72.0,199.0,1964-05-21,22.95068493150685,http://www.nfl.com/player/JoeyClinkscales/2511640/profile,Asheville,NC,USA,,,,,31.75,4.61,32.5,,4.43,103.0,,11.78,
10046,19870132,1987,OT,75.4,285,9.75,Chris,Conlin,Chris Conlin,OG,16802.0,2500171,Penn State,76.0,290.0,1965-06-07,21.904109589041095,http://www.nfl.com/player/ChrisConlin/2500171/profile,Philadelphia,PA,USA,,,,,32.25,5.33,23.0,21.0,4.59,92.0,,,
10047,19870207,1987,CB,70.3,185,8.5,Toi,Cook,Toi Cook,DB,94305.0,2500184,Stanford,71.0,188.0,1964-12-03,22.413698630136988,http://www.nfl.com/player/ToiCook/2500184/profile,Chicago,IL,USA,,,,,29.5,4.58,29.0,,4.3,114.0,,11.46,
10048,19870061,1987,OT,76.8,281,10.5,Dave,Croston,Dave Croston,OT,52242.0,2512246,Iowa,77.0,280.0,1963-11-10,23.47945205479452,http://www.nfl.com/player/DaveCroston/2512246/profile,Sioux City,IA,USA,,,,,33.75,5.48,24.5,14.0,4.76,92.0,,,
10049,19870030,1987,CB,73.1,189,8.25,Brian,Davis,Brian Davis,DB,68588.0,2500306,Nebraska,74.0,190.0,1963-08-31,23.673972602739727,http://www.nfl.com/player/BrianDavis/2500306/profile,Phoenix,AZ,USA,,,,,30.5,4.45,35.5,8.0,4.17,119.0,,11.68,
10050,19870246,1987,K,71.0,197,9.0,Greg,Davis,Greg Davis,K,29409.0,2500311,Citadel,72.0,215.0,1965-10-29,21.50958904109589,http://www.nfl.com/player/GregDavis/2500311/profile,Atlanta,GA,USA,,,,,29.25,5.07,22.0,14.0,4.68,104.0,,,
10051,19870287,1987,OG,75.9,301,9.0,John,Davis,John Davis,OG,30332.0,2500316,Georgia Tech,76.0,310.0,1965-08-22,21.695890410958903,http://www.nfl.com/player/JohnDavis/2500316/profile,Ellijay,GA,USA,,,,,31.25,5.53,21.0,21.0,,,,,
10052,19870212,1987,OT,78.3,292,10.25,Mark,Dennis,Mark Dennis,OT,61801.0,2500368,Illinois,78.0,288.0,1965-04-15,22.04931506849315,http://www.nfl.com/player/MarkDennis/2500368/profile,Junction City,KS,USA,,,,,34.0,5.29,26.0,18.0,4.71,97.0,,,
10053,19870806,1987,K,72.8,194,9.75,John,Diettrich,John Diettrich,K,47306.0,2512926,Ball State (IN),73.0,194.0,1963-05-09,23.986301369863014,http://www.nfl.com/player/JohnDiettrich/2512926/profile,Fort Wayne,IN,USA,,,,,30.25,,,1.0,,,,,
10054,19870085,1987,OG,75.6,292,9.5,Randy,Dixon,Randy Dixon,OG,15260.0,2500416,Pittsburgh,75.0,305.0,1965-03-12,22.14246575342466,http://www.nfl.com/player/RandyDixon/2500416/profile,Clewiston,FL,USA,,,,,33.25,5.28,25.0,24.0,5.17,90.0,,,
10055,19870807,1987,WR,71.0,188,9.5,Karl,Dorrell,Karl Dorrell,WR,90095.0,,UCLA,71.0,188.0,,,,,,,,,,,31.25,4.67,30.5,8.0,4.44,112.0,,11.77,
10056,19870014,1987,RB,72.3,204,10.25,D.J.,Dozier,D.J. Dozier,RB,16802.0,2500455,Penn State,72.0,210.0,1965-09-21,21.613698630136987,http://www.nfl.com/player/D.J.Dozier/2500455/profile,Norfolk,VA,USA,,,,,31.25,,34.0,,,122.0,,,
10057,19870808,1987,RB,71.0,191,8.75,Doug,Dubose,Doug Dubose,RB,68588.0,2513229,Nebraska,71.0,191.0,1964-03-14,23.136986301369863,http://www.nfl.com/player/DougDubose/2513229/profile,New London,CT,USA,,,,,29.5,,,11.0,,,,,
10058,19870809,1987,OLB,74.1,210,9.75,David,Dudley,David Dudley,OLB,72701.0,,Arkansas,74.0,210.0,,,,,,,,,,,33.0,4.65,27.5,15.0,4.38,111.0,,11.69,
10059,19870258,1987,WR,70.3,180,9.5,Curtis,Duncan,Curtis Duncan,WR,60208.0,2500485,Northwestern,71.0,184.0,1965-01-26,22.265753424657536,http://www.nfl.com/player/CurtisDuncan/2500485/profile,Detroit,MI,USA,,,,,31.5,4.44,31.0,12.0,4.56,117.0,,11.86,
10060,19870097,1987,OT,77.8,262,9.0,Ralph,Van Dyke,Ralph Van Dyke,OT,62901.0,2527859,Southern Illinois,78.0,273.0,1964-01-19,23.28767123287671,http://www.nfl.com/player/RalphVanDyke/2527859/profile,Chicago Heights,IL,USA,,,,,32.75,5.28,24.5,21.0,4.94,99.0,,,
10061,19870238,1987,TE,76.3,243,9.25,Scott,Eccles,Scott Eccles,TE,88130.0,2513438,Eastern New Mexico,77.0,240.0,1963-06-28,23.84931506849315,http://www.nfl.com/player/ScottEccles/2513438/profile,New Orleans,LA,USA,,,,,31.75,4.57,31.0,19.0,4.2,116.0,,11.65,
10062,19870075,1987,OLB,73.8,216,9.0,Onzy,Elam,Onzy Elam,LB,37209.0,2513533,Tennessee State,74.0,225.0,1964-12-01,22.41917808219178,http://www.nfl.com/player/OnzyElam/2513533/profile,Miami,FL,USA,,,,,30.75,4.71,29.5,19.0,4.35,110.0,,11.88,
10063,19870810,1987,SS,70.4,190,9.25,Tony,Elliott,Tony Elliott,S,48858.0,2513562,Central Michigan,70.0,190.0,1964-01-10,23.312328767123287,http://www.nfl.com/player/TonyElliott/2513562/profile,Detroit,MI,USA,,,,,30.5,4.84,27.0,8.0,4.21,103.0,,11.73,
10064,19870811,1987,RB,68.6,193,9.25,Larry,Emory,Larry Emory,RB,53706.0,,Wisconsin,69.0,193.0,,,,,,,,,,,30.0,4.6,30.0,13.0,4.02,116.0,,11.47,
10065,19870093,1987,ILB,74.0,220,9.5,Byron,Evans,Byron Evans,LB,85721.0,2500565,Arizona,74.0,235.0,1964-02-23,23.19178082191781,http://www.nfl.com/player/ByronEvans/2500565/profile,Pheonix,AZ,USA,,,,,32.75,4.79,29.5,17.0,4.48,117.0,,11.94,
10066,19870047,1987,DT,73.8,262,8.5,Donald,Evans,Donald Evans,DE,27110.0,2500567,Winston-Salem State (NC),74.0,282.0,1964-03-14,23.136986301369863,http://www.nfl.com/player/DonaldEvans/2500567/profile,Raleigh,NC,USA,,,,,32.0,4.62,31.0,29.0,4.52,115.0,,,
10067,19870094,1987,FS,68.0,177,9.5,Thomas,Everett,Thomas Everett,DB,76706.0,2500578,Baylor,69.0,185.0,1964-11-21,22.446575342465753,http://www.nfl.com/player/ThomasEverett/2500578/profile,Daingerfield,TX,USA,,,,,30.0,4.56,,11.0,,,,,
10068,19870279,1987,ILB,74.8,240,9.75,Chuck,Faucette,Chuck Faucette,LB,20740.0,2513866,Maryland,75.0,242.0,1963-10-07,23.572602739726026,http://www.nfl.com/player/ChuckFaucette/2513866/profile,Levittown,PA,USA,,,,,30.5,4.91,30.0,,4.46,113.0,,11.91,
10069,19870211,1987,FB,74.3,246,9.75,Rick,Fenney,Rick Fenney,RB,98195.0,2500612,Washington,73.0,242.0,1964-12-07,22.4027397260274,http://www.nfl.com/player/RickFenney/2500612/profile,Everett,WA,USA,,,,,31.5,4.79,29.5,28.0,4.46,101.0,,11.91,
10070,19870025,1987,RB,71.6,199,9.75,Terrence,Flagler,Terrence Flagler,RB,29631.0,2514106,Clemson,72.0,200.0,1964-09-24,22.605479452054794,http://www.nfl.com/player/TerrenceFlagler/2514106/profile,New York,NY,USA,,,,,30.0,4.52,30.5,15.0,4.41,113.0,,12.2,
10071,19870031,1987,RB,71.9,211,9.5,Kenny,Flowers,Kenny Flowers,RB,29631.0,2514166,Clemson,72.0,210.0,1964-03-14,23.136986301369863,http://www.nfl.com/player/KennyFlowers/2514166/profile,Daytona Beach,FL,USA,,,,,31.25,4.44,31.0,14.0,4.4,119.0,,11.86,
10072,19870039,1987,CB,69.4,188,8.5,Ron,Francis,Ron Francis,DB,76706.0,2514334,Baylor,69.0,201.0,1964-04-07,23.07123287671233,http://www.nfl.com/player/RonFrancis/2514334/profile,La Marque,TX,USA,,,,,30.0,4.49,34.0,8.0,4.06,115.0,,11.28,
10073,19870058,1987,OT,78.5,291,10.5,Chris,Gambol,Chris Gambol,OT,52242.0,2514590,Iowa,78.0,303.0,1964-09-14,22.632876712328766,http://www.nfl.com/player/ChrisGambol/2514590/profile,Pittsburgh,PA,USA,,,,,33.5,5.2,27.0,21.0,4.69,110.0,,,
10074,19870098,1987,QB,74.3,193,9.5,Rich,Gannon,Rich Gannon,QB,19716.0,2500754,Delaware,75.0,210.0,1965-12-20,21.367123287671234,http://www.nfl.com/player/RichGannon/2500754/profile,Philadelphia,PA,USA,Saint Joseph's Preparatory School,,PA,USA,30.0,4.58,32.5,7.0,4.11,110.0,,,
10075,19870146,1987,DT,76.9,272,10.75,Mark,Garalczyk,Mark Garalczyk,DT,49008.0,2500756,Western Michigan,77.0,272.0,1964-08-12,22.723287671232878,http://www.nfl.com/player/MarkGaralczyk/2500756/profile,Roseville,MI,USA,,,,,31.75,5.01,28.0,14.0,4.56,106.0,,,
10076,19870124,1987,WR,74.1,204,10.5,Everett,Gay,Everett Gay,WR,78712.0,2514723,Texas,74.0,209.0,1964-10-23,22.526027397260275,http://www.nfl.com/player/EverettGay/2514723/profile,Houston,TX,USA,,,,,32.5,4.6,37.5,2.0,4.38,123.0,,11.57,
10077,19870265,1987,OT,76.5,274,9.75,John,Gesek,John Gesek,OG,95819.0,2500797,Sacramento State (CA),77.0,282.0,1963-02-18,24.205479452054796,http://www.nfl.com/player/JohnGesek/2500797/profile,San Francisco,CA,USA,,,,,32.0,5.21,25.5,23.0,4.87,107.0,,,
10078,19870812,1987,SS,71.8,197,8.0,Charles,Glaze,Charles Glaze,S,29117.0,2514949,South Carolina State,72.0,197.0,1965-09-12,21.638356164383563,http://www.nfl.com/player/CharlesGlaze/2514949/profile,Lincolnton,GA,USA,,,,,30.75,4.5,29.5,,4.5,115.0,,11.8,
10079,19870206,1987,OG,79.0,310,9.75,Kevin,Gogan,Kevin Gogan,OG,98195.0,2500829,Washington,79.0,325.0,1964-11-02,22.4986301369863,http://www.nfl.com/player/KevinGogan/2500829/profile,Pacifica,CA,USA,Sacred Heart Preparatory,,CA,USA,32.75,5.46,20.5,,4.88,88.0,,,
10080,19870253,1987,CB,71.6,192,9.75,Chris,Goode,Chris Goode,DB,35487.0,2500838,Alabama,72.0,192.0,1963-09-17,23.627397260273973,http://www.nfl.com/player/ChrisGoode/2500838/profile,Town Creek,AL,USA,,,,,31.75,4.6,33.0,2.0,4.25,116.0,,11.38,
10081,19870042,1987,OLB,76.8,239,9.75,Alex,Gordon,Alex Gordon,LB,45221.0,2500842,Cincinnati,77.0,246.0,1964-09-14,22.632876712328766,http://www.nfl.com/player/AlexGordon/2500842/profile,Jacksonville,FL,USA,,,,,34.0,4.85,29.0,13.0,4.62,115.0,,12.81,
10082,19870157,1987,FS,70.5,195,9.0,Sonny,Gordon,Sonny Gordon,DB,43210.0,2515086,Ohio State,71.0,192.0,1965-07-30,21.75890410958904,http://www.nfl.com/player/SonnyGordon/2515086/profile,Lynn,MA,USA,,,,,31.25,4.6,30.5,19.0,,106.0,,,
10083,19870043,1987,OLB,77.0,240,9.5,Rick,Graf,Rick Graf,LB,53706.0,2500853,Wisconsin,77.0,244.0,1964-08-29,22.676712328767124,http://www.nfl.com/player/RickGraf/2500853/profile,Iowa City,IA,USA,,,,,32.0,4.66,34.0,18.0,4.02,122.0,,11.56,
10084,19870084,1987,ILB,73.5,240,9.5,Don,Graham,Don Graham,LB,16802.0,2515152,Penn State,74.0,244.0,1964-01-31,23.254794520547946,http://www.nfl.com/player/DonGraham/2515152/profile,Pittsburgh,PA,USA,,,,,31.0,4.85,29.0,18.0,4.21,105.0,,11.77,
10085,19870310,1987,FB,72.3,206,9.25,Marcus,Greenwood,Marcus Greenwood,RB,90095.0,2515329,UCLA,72.0,206.0,1963-03-07,24.15890410958904,http://www.nfl.com/player/MarcusGreenwood/2515329/profile,,,,,,,,30.75,4.65,32.0,13.0,4.12,112.0,,11.74,
10086,19870813,1987,CB,73.1,200,8.75,Wayne,Haddix,Wayne Haddix,DB,24502.0,2515549,Liberty (VA),73.0,200.0,1965-07-23,21.778082191780822,http://www.nfl.com/player/WayneHaddix/2515549/profile,Bolivar,TN,USA,,,,,32.75,4.67,37.0,8.0,4.35,122.0,,11.36,
10087,19870038,1987,CB,72.0,202,9.25,Delton,Hall,Delton Hall,DB,29631.0,2500969,Clemson,73.0,195.0,1965-01-16,22.293150684931508,http://www.nfl.com/player/DeltonHall/2500969/profile,Greensboro,NC,USA,,,,,30.0,4.48,30.5,3.0,4.61,112.0,,12.4,
10088,19870087,1987,TE,76.1,239,10.0,Ron,Hall,Ron Hall,TE,96813.0,2500975,Hawaii,76.0,245.0,1964-03-15,23.134246575342466,http://www.nfl.com/player/RonHall/2500975/profile,Fort Huachuca,AZ,USA,,,,,32.0,4.71,28.5,20.0,4.14,111.0,,11.41,
10089,19870814,1987,QB,76.3,217,10.25,Shawn,Halloran,Shawn Halloran,QB,2459.0,2515667,Boston,76.0,217.0,1964-04-23,23.027397260273972,http://www.nfl.com/player/ShawnHalloran/2515667/profile,Gardner,MA,USA,,,,,31.25,5.14,23.5,10.0,4.53,94.0,,,
10090,19870240,1987,RB,70.3,196,9.25,Tracy,Ham,Tracy Ham,RB,30458.0,2515679,Georgia Southern,70.0,196.0,1964-01-05,23.326027397260273,http://www.nfl.com/player/TracyHam/2515679/profile,,,,,,,,30.0,4.74,28.0,6.0,4.28,110.0,,11.8,
10091,19870815,1987,OT,76.8,258,8.75,James,Hansen,James Hansen,OT,84112.0,,Utah,77.0,258.0,,,,,,,,,,,31.75,5.09,24.0,21.0,4.43,108.0,,,
